Y1	$3.00
Y2	$3.24
Y3	$3.22
Y4	$3.48
Y5	$3.38
Y6	$3.04
Y7	$3.24
Y8	$2.98
Y9	$3.24
Y10	$3.24
Y11	$3.02
Y12	$3.24
Y13	$3.04
Y14	$3.00
Y15	$3.12
Y16	$3.28
Y17	$2.96
Y18	$2.96
Y19	$3.04
Y20	$2.94
Y21	$3.22
Y22	$3.14
Y23	$3.04
Y24	$3.10
Y25	$2.96
Y26	$3.32
Y27	$3.18
Y28	$3.20
Y29	$3.20
Y30	$3.20
Y31	$2.92
Y32	$2.94
Y33	$2.92
Y34	$2.94
Y35	$3.28
Y36	$3.28
Y37	$3.28
Y38	$3.02
Y39	$3.12
Y40	$3.12
Y41	$3.08
Y42	$2.90
Y43	$3.28
Y44	$3.02
Y45	$3.16
Y46	$3.08
Y47	$3.12
Y48	$3.12
Y49	$3.08
Y50	$3.08
Y51	$2.96
Y52	$2.96
Y53	$2.96
Y54	$2.96
Y55	$3.52
Y56	$3.56
Y57	$3.52
Y58	$3.52
Y59	$3.12
Y60	$2.90
Y61	$2.90
Y62	$3.12
Y63	$3.52
Y64	$2.98
Y65	$3.22
Y66	$3.10
Y67	$3.04
Y68	$2.92
Y69	$3.22
Y70	$3.22
Y71	$3.04
Y72	$3.14
Y73	$3.24
